Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_9,242,31,12.81,13,7,11,65.35,196.47,378.59,2.08
GA_Multiple_Runs_128times_9,242,69,28.51,26,38,5,42.27,122.43,357.25,2.08
GA_Multiple_Runs_128times_9,242,62,25.62,11,38,13,60.95,123.19,329.74,2.08
GA_Multiple_Runs_128times_9,242,41,16.94,15,17,9,61.72,169.00,310.57,2.08
GA_Multiple_Runs_128times_9,242,84,34.71,21,47,16,60.93,145.20,304.76,2.08
GA_Multiple_Runs_128times_9,242,92,38.02,14,70,8,60.77,124.53,293.36,2.08
GA_Multiple_Runs_128times_9,242,107,44.21,30,60,17,55.99,154.64,287.32,2.08
GA_Multiple_Runs_128times_9,242,111,45.87,28,58,25,64.85,150.22,278.53,2.08
GA_Multiple_Runs_128times_9,242,81,33.47,18,15,48,115.60,195.54,255.90,2.08
GA_Multiple_Runs_128times_9,242,121,50.00,20,40,61,89.90,201.07,251.78,2.08
GA_Multiple_Runs_128times_9,242,130,53.72,21,54,55,96.58,216.18,241.47,2.08
GA_Multiple_Runs_128times_9,242,136,56.20,29,29,78,121.18,276.71,227.82,2.08
GA_Multiple_Runs_128times_9,242,152,62.81,19,23,110,137.16,247.33,211.86,2.08
GA_Multiple_Runs_128times_10,258,13,5.04,6,6,1,24.44,56.95,700.00,2.09
GA_Multiple_Runs_128times_10,258,17,6.59,12,3,2,15.38,60.46,692.96,2.09
GA_Multiple_Runs_128times_10,258,22,8.53,11,7,4,16.43,48.75,685.48,2.09
GA_Multiple_Runs_128times_10,258,20,7.75,14,4,2,17.17,85.55,668.74,2.09
GA_Multiple_Runs_128times_10,258,26,10.08,14,9,3,13.67,43.79,658.13,2.09
GA_Multiple_Runs_128times_10,258,17,6.59,9,5,3,29.58,123.22,649.91,2.09
GA_Multiple_Runs_128times_10,258,30,11.63,19,6,5,18.23,55.77,630.93,2.09
GA_Multiple_Runs_128times_10,258,28,10.85,17,6,5,20.64,60.60,621.46,2.09
GA_Multiple_Runs_128times_10,258,28,10.85,12,11,5,24.09,67.96,598.80,2.09
GA_Multiple_Runs_128times_10,258,33,12.79,10,19,4,21.60,55.47,587.04,2.09
GA_Multiple_Runs_128times_10,258,29,11.24,15,11,3,26.78,76.35,566.56,2.09
GA_Multiple_Runs_128times_10,258,15,5.81,7,6,2,23.35,65.05,547.46,2.09
GA_Multiple_Runs_128times_10,258,42,16.28,16,17,9,28.81,61.61,545.73,2.09
GA_Multiple_Runs_128times_10,258,34,13.18,11,14,9,36.70,96.64,530.92,2.09
GA_Multiple_Runs_128times_10,258,35,13.57,15,16,4,26.68,91.39,515.43,2.09
GA_Multiple_Runs_128times_10,258,42,16.28,27,9,6,19.56,57.09,502.23,2.09
GA_Multiple_Runs_128times_10,258,58,22.48,34,16,8,25.94,89.75,493.16,2.09
GA_Multiple_Runs_128times_10,258,68,26.36,38,24,6,18.39,74.21,486.82,2.09
GA_Multiple_Runs_128times_10,258,71,27.52,42,21,8,24.10,101.94,477.64,2.09
GA_Multiple_Runs_128times_10,258,66,25.58,28,26,12,31.19,153.40,464.41,2.09
GA_Multiple_Runs_128times_10,258,85,32.95,52,27,6,18.72,57.90,461.30,2.09
GA_Multiple_Runs_128times_10,258,95,36.82,27,48,20,40.73,135.96,453.26,2.09
GA_Multiple_Runs_128times_10,258,107,41.47,59,39,9,21.64,81.47,449.07,2.09
GA_Multiple_Runs_128times_10,258,101,39.15,45,45,11,24.75,90.41,443.33,2.09
GA_Multiple_Runs_128times_10,258,107,41.47,44,47,16,29.98,89.45,426.24,2.09
GA_Multiple_Runs_128times_10,258,125,48.45,54,60,11,29.00,105.72,402.41,2.09
GA_Multiple_Runs_128times_10,258,112,43.41,37,60,15,51.82,142.24,375.49,2.09
GA_Multiple_Runs_128times_10,258,115,44.57,28,62,25,44.60,119.48,354.72,2.09
GA_Multiple_Runs_128times_10,258,129,50.00,32,75,22,60.04,141.51,332.84,2.09
GA_Multiple_Runs_128times_10,258,131,50.78,23,57,51,80.42,188.19,309.00,2.09
GA_Multiple_Runs_128times_10,258,139,53.88,34,42,63,85.41,205.41,294.53,2.09
GA_Multiple_Runs_128times_10,258,182,70.54,23,38,121,111.47,232.92,271.49,2.09
GA_Multiple_Runs_128times_11,235,1,0.43,0,1,0,63.25,63.25,700.00,2.22
GA_Multiple_Runs_128times_11,235,4,1.70,3,1,0,16.56,40.29,688.59,2.22
GA_Multiple_Runs_128times_11,235,3,1.28,2,1,0,34.04,101.17,676.88,2.22
GA_Multiple_Runs_128times_11,235,3,1.28,1,2,0,45.99,80.14,658.78,2.22
GA_Multiple_Runs_128times_11,235,5,2.13,4,1,0,17.61,80.37,648.00,2.22
GA_Multiple_Runs_128times_11,235,5,2.13,5,0,0,6.82,21.20,631.03,2.22
GA_Multiple_Runs_128times_11,235,13,5.53,7,6,0,22.30,68.90,621.81,2.22
GA_Multiple_Runs_128times_11,235,0,0.00,0,0,0,0.00,0.00,604.07,2.22
